house,census_tract,country,interview_date,lat,long,hh_size,migrant_num,wealth_index,remit,frequency,severity,dispersion,area,SVI_severity,pop_cent_lat,pop_cent_long,NDVI_mean
1171,sonkorong,senegal,2009-11-01,13.76929622,-15.58749555,7,2,-1.51786772793973,1,0.4,-2.7021835446357727,0.6000000000000005,34359803.787766814,-0.05532979017714945,13.7751637,-15.63622426,0.20425827531878404
384,thiarene h2,senegal,2009-11-01,15.7668346,-13.47659022,7,0,-3.10019005523989,NA,0.4,-2.0618878602981567,-0.3999999999999999,25149369.334476203,0.3851886887902918,15.71702669,-13.36263999,0.16610312408759917
1727,hilole,senegal,2009-11-01,12.85643014,-16.67789504,7,1,-1.72774817956823,0,0,0,0,0,0,12.89534328,-16.73379647,0.18537822829629896
1402,boinadji roumde,senegal,2009-11-01,15.66051954,-13.35041654,12,2,-2.43723877919777,1,0.4,-2.7332383394241333,-0.3999999999999999,17354546.875206813,0.2764973600953168,15.6680352,-13.36263999,0.153998833792147
1514,gouriki samba diane,senegal,2009-11-01,15.43742604,-12.95155738,10,2,-3.19728626974746,1,0.6,-1.8576865196228027,0.06666666666666665,31893940.416139115,0.4599991934381265,15.38130032,-13.36263999,0.15892811126726786
1750,moudery,senegal,2009-11-01,15.06745915,-12.5787737,7,2,0.0466176831696105,0,0.8,-2.1201342741648355,-0.29999999999999993,69166082.03067684,1.1587191400393408,15.03429087,-12.41480008,0.17367146808388914
1508,sinthiane dioude,senegal,2009-11-01,16.59843864,-14.88228312,33,5,-1.34645758960981,1,0,0,0,0,0,16.47147469,-14.92254071,0.1530046735568683
1747,ndiaye counda,senegal,2009-11-01,14.1372415,-15.49080373,14,3,-1.90457681735586,1,0.2,-3.6592421531677246,-0.19999999999999973,40611737.75569371,2.3602043459631092,14.13637726,-15.5307987,0.20197392482888424
1522,sinthiane dioude,senegal,2009-11-01,16.59843864,-14.88228312,13,2,-1.98916277844878,1,0,0,0,0,0,16.47147469,-14.92254071,0.1530046735568683
1865,yelitare,senegal,2009-11-01,16.52936484,-15.20234492,14,2,-2.05905330056609,1,0.4,-2.0280222296714783,-0.3999999999999999,50103344.19842622,1.0101324341621338,16.47147469,-15.27583107,0.15500495166200828
